image_path,class,split
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/soybean leaf/108.jpg,soybean leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/coffee leaf/google_0103.jpg,coffee leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/banana leaf/32.jpg,banana leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/banana leaf/186.jpg,banana leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/lettuce mosaic virus/google_0061.jpg,lettuce mosaic virus,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn smut/google_0157.jpg,corn smut,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/bean rust/google_0042.jpg,bean rust,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/basil leaf/google_0168.jpg,basil leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/maple leaf/google_0055.jpg,maple leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato yellow leaf curl virus/google_0105.jpg,tomato yellow leaf curl virus,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/basil downy mildew/google_0014.jpg,basil downy mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato leaf/34.jpg,tomato leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn northern leaf blight/google_0104.jpg,corn northern leaf blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/coffee leaf rust/google_0020.jpg,coffee leaf rust,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/raspberry leaf/google_0017.jpg,raspberry leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cucumber powdery mildew/google_0068.jpg,cucumber powdery mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/garlic rust/google_0002.jpg,garlic rust,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cauliflower leaf/53.jpg,cauliflower leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/raspberry leaf/82.jpg,raspberry leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cauliflower leaf/google_0122.jpg,cauliflower leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple scab/google_0291.jpg,apple scab,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato mosaic virus/google_0059.jpg,tomato mosaic virus,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/basil leaf/299.jpg,basil leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn rust/google_0087.jpg,corn rust,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cherry powdery mildew/google_0128.jpg,cherry powdery mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/blueberry rust/google_0121.jpg,blueberry rust,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/strawberry anthracnose/15.jpg,strawberry anthracnose,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cabbage alternaria leaf spot/google_0001.jpg,cabbage alternaria leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/potato early blight/18.jpg,potato early blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/bean leaf/156.jpg,bean leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/basil leaf/272.jpg,basil leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/peach leaf/254.jpg,peach leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/strawberry leaf scorch/google_0002.jpg,strawberry leaf scorch,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/ginger leaf/google_0174.jpg,ginger leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/squash leaf/zgoogle_0118.jpg,squash leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/potato late blight/google_0098 - Copy - Copy (2).jpg,potato late blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/maple leaf/330.jpg,maple leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/ginger leaf/99.jpg,ginger leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cucumber angular leaf spot/33.jpg,cucumber angular leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/grape leaf spot/198.jpg,grape leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/bell pepper leaf spot/3.jpg,bell pepper leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple rust/google_0197.jpg,apple rust,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/citrus canker/405.jpg,citrus canker,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/maple tar spot/google_0113.jpg,maple tar spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/garlic leaf/google_0178.jpg,garlic leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/peach leaf/11.jpg,peach leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/citrus canker/15.jpg,citrus canker,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato yellow leaf curl virus/49.jpg,tomato yellow leaf curl virus,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/blueberry leaf/38.jpg,blueberry leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/raspberry leaf/15.jpg,raspberry leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/eggplant leaf/google_0129.jpg,eggplant leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/garlic leaf blight/google_0006.jpg,garlic leaf blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/broccoli leaf/google_0518.jpg,broccoli leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cherry powdery mildew/18.jpg,cherry powdery mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/citrus canker/2.jpg,citrus canker,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cucumber leaf/google_0225.jpg,cucumber leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn gray leaf spot/google_0053.jpg,corn gray leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato leaf mold/google_0178.jpg,tomato leaf mold,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cucumber angular leaf spot/286.jpg,cucumber angular leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cucumber leaf/google_0305.jpg,cucumber leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn northern leaf blight/3.jpg,corn northern leaf blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/bean halo blight/google_0188.jpg,bean halo blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/bell pepper leaf/162.jpg,bell pepper leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/garlic leaf/google_0094.jpg,garlic leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato mosaic virus/168.jpg,tomato mosaic virus,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn smut/google_0331.jpg,corn smut,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/rice sheath blight/google_0015.jpg,rice sheath blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/potato early blight/google_0015.jpg,potato early blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/maple leaf/87.jpg,maple leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/squash leaf/z9.jpg,squash leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/bean halo blight/2.jpg,bean halo blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cauliflower leaf/8.jpg,cauliflower leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato early blight/25 - Copy (2).jpg,tomato early blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple scab/google_0042.jpg,apple scab,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/grapevine leafroll disease/59.jpg,grapevine leafroll disease,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn northern leaf blight/google_0121.jpg,corn northern leaf blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cucumber powdery mildew/184.jpg,cucumber powdery mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato early blight/google_0024.jpg,tomato early blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/maple tar spot/google_0026.jpg,maple tar spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato septoria leaf spot/google_0068.jpg,tomato septoria leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/basil leaf/6.jpg,basil leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/potato late blight/19.jpg,potato late blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/lettuce leaf/google_0200.jpg,lettuce leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/broccoli leaf/google_0510.jpg,broccoli leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/bean leaf/google_0179.jpg,bean leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/basil leaf/277.jpg,basil leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn gray leaf spot/google_0018.jpg,corn gray leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cucumber leaf/38.jpg,cucumber leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato mosaic virus/google_0206.jpg,tomato mosaic virus,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/basil downy mildew/2.jpg,basil downy mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato yellow leaf curl virus/google_0138.jpg,tomato yellow leaf curl virus,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple mosaic virus/google_0026.jpg,apple mosaic virus,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/lettuce leaf/21.jpg,lettuce leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/lettuce mosaic virus/13.jpg,lettuce mosaic virus,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/peach leaf/google_0012.jpg,peach leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/bell pepper leaf/google_0053.jpg,bell pepper leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple leaf/188.jpg,apple leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/rice sheath blight/google_0208 - Copy (2).jpg,rice sheath blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple scab/google_0021.jpg,apple scab,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato late blight/google_0045.jpg,tomato late blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cucumber leaf/21.jpg,cucumber leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/lettuce downy mildew/47.jpg,lettuce downy mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato leaf mold/google_0152.jpg,tomato leaf mold,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/grape downy mildew/27.jpg,grape downy mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/ginger leaf/google_0130.jpg,ginger leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/citrus canker/32.jpg,citrus canker,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/coffee leaf rust/google_0018.jpg,coffee leaf rust,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/grape black rot/2.jpg,grape black rot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cucumber leaf/23.jpg,cucumber leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/carrot cavity spot/google_0151.jpg,carrot cavity spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/bell pepper leaf/97.jpg,bell pepper leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/banana leaf/53.jpg,banana leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/citrus canker/google_0287.jpg,citrus canker,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato yellow leaf curl virus/google_0033.jpg,tomato yellow leaf curl virus,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cucumber powdery mildew/13.jpg,cucumber powdery mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/potato leaf/36.jpg,potato leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato bacterial leaf spot/google_0228.jpg,tomato bacterial leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/lettuce leaf/google_0112.jpg,lettuce leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/peach leaf curl/google_0099.jpg,peach leaf curl,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/peach leaf/202.jpg,peach leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/rice sheath blight/45.jpg,rice sheath blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/basil leaf/208.jpg,basil leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn smut/google_0033.jpg,corn smut,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/plum leaf/google_0068.jpg,plum leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/bean halo blight/18 - Copy (2).jpg,bean halo blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato bacterial leaf spot/google_0283.jpg,tomato bacterial leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn rust/google_0212.jpg,corn rust,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/potato late blight/34 - Copy.jpg,potato late blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato leaf mold/183.jpg,tomato leaf mold,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato bacterial leaf spot/google_0030.jpg,tomato bacterial leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/basil leaf/google_0255.jpg,basil leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/grape leaf/18.jpg,grape leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato bacterial leaf spot/24.jpg,tomato bacterial leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cabbage leaf/499.jpg,cabbage leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato early blight/211.jpg,tomato early blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/plum leaf/11.jpg,plum leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/bell pepper leaf spot/google_0090.jpg,bell pepper leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn rust/31.jpg,corn rust,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/maple leaf/47.jpg,maple leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/basil leaf/61.jpg,basil leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/rice blast/71.jpg,rice blast,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/blueberry rust/google_0110.jpg,blueberry rust,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato leaf mold/58 - Copy.jpg,tomato leaf mold,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/eggplant leaf/67.jpg,eggplant leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/citrus canker/google_0197.jpg,citrus canker,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/peach leaf curl/google_0144.jpg,peach leaf curl,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato septoria leaf spot/google_0103.jpg,tomato septoria leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/bell pepper leaf spot/google_0015.jpg,bell pepper leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cherry leaf spot/31.jpg,cherry leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple rust/google_0139.jpg,apple rust,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/maple leaf/165.jpg,maple leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/plum pocket disease/google_0131.jpg,plum pocket disease,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/garlic leaf/2.jpg,garlic leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato septoria leaf spot/25.jpg,tomato septoria leaf spot,train
